ISIN,Fund Name,SFDR,Sustainabilty Theme,Fund Provider,Fund Launch - start,Fund Currency,Funds Description,Funds Domicile,Benchmark ,Geography,AuM 2022 - amount USD mios,Perf 1Y USD,Impact Investing,Negative Screening,Positive Screening,Responsible Investments,SRI,ESG Rating,UNCTAD Sensitive sectors,Weapon ,Cluster bombs / Nuclear Weapons (NPT) ,Tobacco ,Gambling ,Pornography ,GMO ,Nuclear ,Alcohol ,Fossil fuels ,Coal ,Clean tech ,Net climate impact,UNCTAD SDG Alignment,Water and sanitation,Transport infrastructure,Telecommunications infrastructure,Power,Health,Food and agriculture,Education,Eco-systems/biodiversity,Climate change mitigation,Climate change adaptation,Portfolio weighted Co2 (Kt Co2 total) ,Portfolio weighted Co2 Intensity (tCO2/mio Revenues $),SBTi,No Info,SBTI - Committed,SBTI - Targets Set 2°C,SBTI - Targets Set Well-below 2°C,SBTI - Targets Set 1.5°C
LU0552643339,Mirova Europe Sustainable Equity R/A (EUR),Article 9,SRI,Natixis Investment Managers,"40,793.00",Euro,"The investment objective ot fund is to outperform the MSCI Europe Dividend Net Reinvested in euro Index, over the recommended minimum investment period of 5 years, through investments in equities whose businesses include activities related to sustainable investment themes. The portfolio of the Sub-Fund invests at least 80% of its assets in European equity securities of companies who are developing products or services to respond to key sustainable issues on 8 sustainable themes: energy, mobility, building and cities, management of natural resources, consumption, healthcare, IT and finance.",Luxembourg,MSCI Europe NR EUR,Europe,517.71,-0.20,,"ex Fossil Energy, ex Other",Thematic,TRUE,TRUE,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.21,0.18,0.22,0.02,0.00,0.00,0.05,0.12,0.03,0.00,0.00,0.05,0.00,"2,889.47",138.94,% Targets set,0.17,0.12,0.03,0.07,0.55
LU0914733059,Mirova Europe Environmental Equity R/A (EUR),Article 9,Environnement,Natixis Investment Managers,"41,624.00",Euro,"The investment objective of the fund is to outperform European equity markets over the recommended minimum investment period of 5 years, through investments in companies providing solutions to address mainly environmental issues. The Sub-Fund follows a thematic responsible investment strategy focused on European companies active in the renewable energy, transition energy, energy efficiency and natural resources management such as agricultural/food and water production cycle.",Luxembourg,MSCI Europe NR EUR,Europe,"2,718.97",-0.27,,"ex Fossil Energy, ex Other",Thematic,TRUE,TRUE,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.41,0.39,0.20,0.03,0.01,0.00,0.05,0.05,0.02,0.00,0.01,0.08,0.00,"3,416.82",166.65,% Targets set,0.26,0.14,0.01,0.09,0.46
FR0010748368,LBPAM ISR Actions Environnement C,Article 9,Environnement,La Banque Postale Asset Management,"39,944.00",Euro,"The investment objective is twofold: - seek to offer investors, over the recommended investment period of at least 5 years, a performance linked to a portfolio made up of shares of European companies of all sizes of capitalization and of which a share major activity is directly related to the environmental theme and. - implement a socially responsible investment strategy (SRI).",France,STOXX Europe 600 TR EUR,Europe,846.13,-0.27,,,,TRUE,TRUE,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.22,0.04,0.02,0.00,0.02,0.00,0.04,0.00,0.04,0.09,0.00,"1,868.51",139.87,% Targets set,0.17,0.07,0.04,0.08,0.57
FR0010863688,Echiquier Positive Impact Europe A,Article 9,SRI,La Financiere De L'Echiquier,"40,256.00",Euro,"The fund is a SICAV seeking long-term performance through exposure to European equity markets through companies which stand out for their good governance as well as the quality of their social and environmental policy and whose activity provides solutions to the challenges of sustainable development. The MSCI EUROPE NR index is a representative indicator of the fund. The maximum exposure to small and mid caps will be 60%. However, in order to allow the SICAV to qualify for the PEA, the SICAV is invested up to 75% in European equities.",France,MSCI Europe NR EUR,Europe,470.14,-0.28,,,Best in Class,TRUE,TRUE,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.33,0.00,0.00,0.00,0.00,0.21,0.01,0.00,0.01,0.10,0.00,"1,497.00",103.12,% Targets set,0.37,0.06,0.01,0.04,0.49
FR0010077412,BNP Paribas Developpement Humain Classic,Article 9,Demography,Bnp Paribas Am,"37,357.00",Euro,"The Fund's objective is to outperform its benchmark indicator, the 80% MSCI EMU composite index calculated with net dividends reinvested + 20% MSCI Europe ex-EMU calculated with net dividends reinvested. It invests in securities from issuers which incorporate criteria of good governance and sustainable development into their operations. The FCP is actively managed using a socially responsible investment (SRI) approach. The composition of the FCP may differ significantly from the distribution of its benchmark indicator.",France,Index is not available on Lipper Database,Europe,"1,439.79",-0.19,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Alcohol or Drugs",Thematic,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.20,0.20,0.27,0.00,0.00,0.00,0.03,0.19,0.06,0.00,0.02,0.00,0.00,"2,372.05",93.52,% Targets set,0.25,0.08,0.00,0.05,0.58
LU0545089723,AXA WF ACT Eurozone Impact A EUR Cap,Article 9,SRI,Axa Investment Managers,"40,485.00",Euro,"The Fund seeks to achieve long term capital growth measured in Euro by investing mainly in large, medium and small capitalisation companies domiciled in the Eurozone using a Responsible Investment filter. The fund invests essentially in equities issued by companies domiciled or carrying out a main part of their economic activity in the Eurozone, up to one third of its assets in money market instruments and up to 10% of its assets in equities issued by companies located outside the Eurozone including emerging market.",Luxembourg,EURO STOXX NR EUR,EuroZone,255.69,-0.23,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex Alcohol or Drugs, ex Fossil Energy",,TRUE,TRUE,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.00,0.21,0.18,0.16,0.01,0.00,0.00,0.04,0.09,0.02,0.00,0.00,0.03,0.00,"2,748.48",119.77,% Targets set,0.20,0.08,0.03,0.13,0.53
FR0013345733,Federis ISR France L,Article 8,SRI,Tocqueville Finance SA,"43,279.00",Euro,"The fund's management objective is to achieve, over a minimum investment horizon of 5 years, a performance superior to its benchmark, the MSCI France index (dividends included), while selecting values that meet the criteria of socially responsible investment. The Fund is actively managed and focuses mainly on French large and mid-cap stocks.",France,MSCI France TR EUR,France,165.52,-0.22,,,,TRUE,TRUE,10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.02,0.02,0.22,0.20,0.24,0.04,0.00,0.00,0.00,0.15,0.01,0.00,0.00,0.05,0.00,"3,622.39",125.32,% Targets set,0.14,0.13,0.05,0.07,0.54
LU2344434969,LUX IM ESG UBS Global Climate Change DXL Cap,Article 8,SRI,Ubs Global Asset Management,"44,406.00",Euro,"The Fund seeks to provide capital growth over the long term by investing in companies that contribute and/or benefit from the reduction of CO2 emissions, with the aim to achieve a smaller average carbon footprint than its benchmark, being the MSCI AC World Net Return Index in EUR.",Luxembourg,MSCI AC World NR EUR,Global,116.70,-0.25,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex GMO, ex Fossil Energy",Best in Class,TRUE,TRUE,10,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.09,0.08,0.19,0.04,0.00,0.00,0.02,0.09,0.05,0.00,0.01,0.00,0.00,"1,394.60",78.53,% Targets set,0.39,0.15,0.02,0.06,0.33
LU2307769971,MMA II - Future of Earth USD P acc,Article 8,SRI,Ubs Global Asset Management,"44,341.00",USDollar,"The objective of the actively managed sub-fund is to seek longterm real returns by pursuing a thematic strategy, primarily investing in equities that meet environmental, social and governance (ESG) criteria. No guarantee can be given that this investment objective will be achieved. The sub-fund focuses on aspects relating to climate change, environmental issues and the global growth in population and increasing urbanisation, and promotes several of the environmental objectives of the UN Sustainable Development Goals.",Luxembourg,Index is not available on Lipper Database,Global,681.36,-0.23,Sustainable Development Goals (SDGs),ex Weapons,,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.17,0.15,0.45,0.04,0.00,0.00,0.01,0.23,0.12,0.00,0.05,0.01,0.00,"1,354.65",135.79,% Targets set,0.46,0.22,0.00,0.05,0.23
,UBS Climate Change Global Growth Eq(Quarterly/Div),N/A,SRI,Ubs Global Asset Management,"44,337.00",JapaneseYen,"This fund makes an investment with a focus on stocks of companies that respond to climate change issues with advanced technologies and services and companies that lead the realization of a low-carbon society through 'UBS Climate Change Global Growth Equity Mother Fund'. In stock selection process, the fund selects companies with excellent long-term business growth and limited risk in business operations by selecting among from companies that lead climate change initiatives in each sector and companies that are expected to benefit from the transition to a low-carbon society. The fund is not hedged and may employ derivatives to reduce risks.",Japan,Index is not provided by Management Company,Global,6.87,-0.24,Sustainable Development Goals (SDGs),,Thematic,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.12,0.11,0.18,0.04,0.00,0.00,0.02,0.09,0.05,0.00,0.01,0.00,0.00,"1,369.72",74.49,% Targets set,0.39,0.16,0.02,0.06,0.30
LU2282709976,CT Lux-Sustainable Outcomes Gl Eq AU USD,Article 8,SRI,Columbia Threadneedle Management Ltd,"44,335.00",USDollar,"The Fund aims to generate capital growth through investment in companies that are positively exposed to sustainable outcome themes through their products and services and display strong or improving environmental, social and governance (ESG) practices. The Fund is actively managed and invests a minimum of 90% of its total net assets in the equity securities of companies globally, including through depositary receipts. Such investment may include the equity securities of companies in emerging market countries which may represent a core part of the funds investments.",Luxembourg,MSCI AC World TR USD,Global,139.05,-0.24,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex Alcohol or Drugs, ex Other",Thematic,TRUE,TRUE,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.00,0.10,0.06,0.25,0.00,0.00,0.00,0.06,0.20,0.04,0.01,0.00,0.00,0.00,"2,673.17",153.05,% Targets set,0.34,0.11,0.00,0.03,0.47
SE0015948963,Swedbank Robur Climate Impact A,Article 9,SRI,Swedbank Robur Fonder AB,"44,455.00",SwedishKrona,"The aim is for the fund to exceed its benchmark in the long term. The fund invests globally in shares of companies that, through their products, services and activities, according to the fund company's assessment, contribute to meeting the UN's global development goals regarding sustainable energy and combating climate change. The objectives aim to ensure that everyone has access to reliable, sustainable and modern energy and to take action to combat climate change and its consequences. The fund also invests in other environmental technologies that contribute to UN environmental goals. These also usually have a direct or indirect positive impact on the climate.",Sweden,Index is not available on Lipper Database,Global,313.54,-0.15,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex Alcohol or Drugs, ex Fossil Energy",Thematic,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.43,0.41,0.14,0.01,0.00,0.00,0.12,0.00,0.04,0.00,0.01,0.07,0.00,"1,630.66",202.87,% Targets set,0.40,0.17,0.01,0.09,0.28
NL0015614694,ABN AMRO Aegon Global Impact Equities CN,Article 9,SRI,Abn Amro Asset Management,"44,162.00",Euro,"The sub-fund is actively managed by combining quantitative financial modelling with qualitative, Environmental, Social and Governance (ESG), sustainable or non-financial voting impact research. Fund Investments by the sub-fund will be made into companies with growth driven by long term sustainable impact themes and with the intent to contribute to measurable positive social, economic and environmental impact alongside financial returns.",Netherlands,MSCI World TR EUR,Global,157.60,-0.17,,"ex Weapons, ex Tobacco",,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.37,0.06,0.00,0.00,0.01,0.22,0.05,0.03,0.01,0.00,0.00,"1,703.60",120.64,% Targets set,0.31,0.21,0.00,0.08,0.39
LU1120868549,Espiria SDG Solutions A Cap,Article 9,SRI,East Capital,"41,996.00",SwedishKrona,"TThe Sub-Fund will invest at least 80% of its net assets directly or indirectly in global markets equities, including emerging markets equities, and equity related securities or depositary receipts representing such global market equities. Indirect exposure will be achieved through investments in UCITS, other UCIs, exchange traded funds, as well as in UCITS eligible structured products such as participatory notes and/or equity-linked notes.",Luxembourg,Index is not available on Lipper Database,Global,164.15,-0.19,Sustainable Development Goals (SDGs),ex Weapons,,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.37,0.33,0.00,0.00,0.00,0.00,0.18,0.10,0.02,0.00,0.04,0.00,"1,942.51",124.37,% Targets set,0.32,0.16,0.00,0.11,0.37
LU0943495910,UBAM 30 Global Leaders Equity AC USD,Article 8,SRI,Ubp,"41,451.00",USDollar,"The Fund seeks to grow your capital and generate income by investing primarily in worldwide -including Emerging countries- equities or equivalent. The Fund is actively managed, invested around 30 positions and focused on large market capitalization and leading companies in their particular business fields, which are expected to provide growth and leading (i.e. sustainably high quality) levels of Cash Flow Return on Investment (CFROI Credit Suisse HOLT).",Luxembourg,MSCI AC World NR USD,Global,"1,541.61",-0.23,,"ex Weapons, ex Tobacco, ex Fossil Energy",,TRUE,,10,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.08,0.08,0.25,0.00,0.00,0.00,0.00,0.18,0.07,0.00,0.00,0.00,0.00,948.58,21.03,% Targets set,0.15,0.13,0.03,0.02,0.59
SE0000602237,Swedbank Robur Forbundsfond Global,Article 8,SRI,Swedbank Robur Fonder AB,"36,059.00",SwedishKrona,"The fund is a special fund, which means that the fund has freer investment rules than traditional mutual funds. Equity investments take place globally in companies of varying sizes in different industries. The fund may use derivative instruments in an effort to increase the fund's return. The fund addresses the National Organization in Sweden and its unions. The fund has a long-term investment horizon and an active investment strategy that focuses on company selection, where sector and regional analysis are also important parts of the strategy.",Sweden,MSCI World NR USD,Global,291.60,-0.22,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex Alcohol or Drugs, ex Fossil Energy",,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.22,0.00,0.00,0.00,0.02,0.22,0.00,0.00,0.00,0.00,0.00,"1,049.47",29.70,% Targets set,0.19,0.18,0.02,0.01,0.55
FI0008802897,Fondita Global Megatrends B,Article 8,SRI,Fondita Fund Management Company Ltd,"36,052.00",Euro,The fund is an equity fund that invests globally in companies whose activities make use of: 1. growing demand to protect the environment; 2. needs stemming from demographic changes; and 3. prospects for growth in information technology and communication. The fund has no geographical nor market value limitations regarding the companies it invests in. The fund does not have an official benchmark. The objective of the fund's investment activities is to attain best increase in value possible in the long run through diversifying the assets in compliance with the law concerning investment funds and with the rules of the fund.,Finland,Index is not provided by Management Company,Global,124.08,-0.36,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex GMO, ex Fossil Energy",,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.40,0.00,0.00,0.00,0.02,0.33,0.00,0.00,0.07,0.00,0.00,"1,200.64",75.59,% Targets set,0.37,0.24,0.00,0.01,0.28
FR0010074682,AXA ACT Carbon Offset Equity QI C,Article 9,SRI,Axa Investment Managers,"38,159.00",Euro,"The objective of the fund is to ensure long-term growth by being exposed to international stock markets by implementing a dynamic and discretionary management approach. To do this, the manager will mainly invest in companies with high earnings quality and low volatility, while taking into account environmental, social and governance (ESG) factors, which are key elements taken into account in decisions. of investment. The fund's strategy is to be permanently and actively exposed to international equities.",France,Index is not available on Lipper Database,Global,692.73,-0.18,,"ex Weapons, ex Tobacco, ex Other",,TRUE,,10,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.02,0.18,0.16,0.29,0.00,0.00,0.00,0.05,0.21,0.05,0.00,0.00,0.02,0.00,"1,964.53",87.80,% Targets set,0.08,0.12,0.01,0.15,0.64
LU0122113094,SEB Global Climate Opportunity Fund C (EUR),Article 9,SRI,Seb Investment Management Ab,"36,899.00",Euro,"The Fund has a global focus. The portfolio will mainly include equities and equity related transferable securities issued by companies of any part of the world, without being restricted to a specific geographical area or industrial sector.The Fund may use future contracts, options, swaps and other derivatives as part of the investment strategy. The Fund will on a regular basis use derivative instruments for trading. It may also use derivatives to hedge various investments, for risk management and to increase the Sub-Fund's income or gain.",Luxembourg,MSCI AC World NR USD,Global,259.88,-0.20,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Alcohol or Drugs, ex Fossil Energy",Thematic,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.25,0.22,0.23,0.07,0.02,0.00,0.06,0.02,0.01,0.00,0.05,0.05,0.00,"1,243.66",195.44,% Targets set,0.35,0.17,0.03,0.11,0.32
GB0007274516,Aegon Sustainable Equity GBP B Acc,Article 8,SRI,Aegon Asset Management,"32,080.00",UKPence,"The primary investment objective to provide a combination of income and capital growth over any 7 year period.The Fund will be invested in concentrated portfolio (typically 35-45 stocks)consisting of equities of companies which may be listed, quoted or traded anywhere in the world and denominated in any currency which meet the Fund's predefined sustainability criteria",UK,Index is not provided by Management Company,Global,196.46,-0.39,,,,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.39,0.00,0.00,0.00,0.00,0.30,0.00,0.04,0.05,0.00,0.00,546.73,39.81,% Targets set,0.85,0.09,0.00,0.00,0.00
US7042237757,Impax Global Environmental Markets Fd;Inst,N/A,SRI,Impax Asset Management,"39,534.00",USDollar,"The Fund seeks long term growth of capital by investing in environmental markets. The Fund seeks to invest primarily in equity securities (common stocks, preferred stocks, convertible securities and warrants) of companies located around the world.",USA,MSCI World NR USD,Global,"2,207.85",-0.22,,,Thematic,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.26,0.05,0.00,0.00,0.02,0.10,0.04,0.00,0.07,0.00,0.00,"3,512.00",209.87,% Targets set,0.36,0.12,0.00,0.12,0.35
DK0061408150,Nykredit Invest Engros Baeredygtige Aktier,Article 8,SRI,Nykredit Asset Management & Sparinvest,"44,119.00",DanishKrone,"The fund invests globally in companies that are considered to include Sustainability (ESG) in the business model and that do not violate the UN Declaration of Human Rights or other internationally recognized conventions. The fund's investments are made taking into account the association's policy for sustainable investments as well as the investment strategy. The department thus does not invest in companies whose main activity is the production of weapons, tobacco, alcohol, pornography, gambling, oil, coal or gas.",Denmark,MSCI AC World TR EUR,Global,160.90,-0.17,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Alcohol or Drugs, ex Fossil Energy",,TRUE,TRUE,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.30,0.03,0.00,0.00,0.00,0.21,0.06,0.00,0.00,0.00,0.00,"1,001.63",28.83,% Targets set,0.31,0.27,0.00,0.02,0.39
